성분명,위험도,지성,건성,민감성
세레신,-1,0,0,0
세린,-1,0,0,0
세이지오일,-1,0,0,-5
세테스-10,-2,0,0,0
세테아레스-12,-7,0,0,0
세테아릴글루코사이드,-1,0,0,0
세테아릴다이메티콘크로스폴리머,-1,0,0,0
세테아릴알코올,-1,0,0,0
세테아릴올리베이트,-1,0,0,0
세틸다이글리세릴트리스트라이메틸실록시실릴에틸다이메티콘,0,0,0,0
세틸디메치콘,-1,0,0,0
세틸알코올,-1,0,0,0
세틸에틸헥사노에이트,-1,0,0,0
세틸피이지,-3,0,0,0
세틸하이드록시에칠셀룰로오스,-1,0,0,0
센티드제라늄꽃오일,-1,0,0,0
셀룰로오스,-1,0,0,0
셀룰로오스검,-1,0,0,0
소듐라우레스설페이트,-3,0,0,0
소듐라우릴설페이트,-2,0,0,0
소듐메타바이설페이트,-4,0,0,0
소듐벤조에이트,-3,0,0,0
소듐스테아로일글루타메이트,-1,0,0,0
소듐아스코베이트,-1,0,0,0
소듐아스코빌포스페이트,-1,0,0,0
소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,-1,0,0,0
소듐카보머,-1,0,0,0
소듐코코일사코시네이트,-2,0,0,0
소듐코코일아미노산,-1,0,0,0
소듐클로라이드,-1,0,0,0
소듐팔미토일프롤린,-1,0,0,0
소듐폴리아크릴레이트,-3,0,0,0
소듐피씨에이,-1,0,5,0
소듐하이드록사이드,-3,0,0,0
소듐하이알루로네이트,-1,0,5,0
소르비톨,-1,0,0,0
소르빅애씨드,-3,0,0,0
솔비탄라우레이트,-1,0,0,0
솔비탄세스퀴아이소스테아레이트,-1,0,0,0
솔비탄세스퀴올리에이트,-1,0,0,0
솔비탄스테아레이트,-1,0,0,0
솔비탄아이소스테아레이트,-1,0,0,0
솔비탄올리베이트,-1,0,0,0
솔비탄올리에이트,-1,0,0,0
솔비탄카프릴레이트,-1,0,0,0
송이버섯추출물,-1,0,0,0
쇠비름추출물,-1,0,0,0
수레국화꽃수,-1,0,0,0
수박추출물,-1,0,0,0
수세미오이추출물,-1,0,0,0
수용성콜라겐,-1,0,0,0
수크로오스스테아레이트,-1,0,0,0
수퍼옥사이드디스뮤타아제,-1,0,0,0
쉐어버터,-1,-5,0,0
쉐어버터씨드케이크추출물,0,0,0,0
스쿠알란,-1,0,0,0
스클레로튬검,-1,0,0,0
스타아니스추출물,-1,0,0,0
스타이렌/아크릴레이트코폴리머,-2,0,0,0
스테아랄코늄헥토라이트,-1,0,0,0
스테아레스-2,-3,0,0,0
스테아레스-21,-3,0,0,0
스테아레스-4,-3,0,0,0
스테아로일이눌린,-1,0,0,0
스테아릭애씨드,-1,-5,0,0
스테아릴다이메티콘,-1,0,0,0
스테아릴베헤네이트,-1,0,0,0
스테아릴알코올,-1,0,0,0
스피룰리나추출물,-1,0,0,0
시트랄,-7,0,0,0
시트로넬라오일,-1,0,0,0
시트로넬올,-5,0,0,0
시트릭애씨드,-2,0,0,-5
식물성오일,-1,0,0,0
실론시나몬나무껍질추출물,-1,0,0,0
실론시나몬추출물,0,0,0,0
실리카,-2,0,0,0
실리카다이메틸실릴레이트,-1,0,0,0
실버,-5,0,0,0
싯딤우드검추출물,0,0,0,0
쌀겨추출물,-1,0,0,0
쌀배아추출물,0,0,0,0
쑥잎추출물,-1,0,0,0
쑥추출물,-1,0,0,0
쓴박하추출물,-1,0,0,0
쓴쑥추출물,-1,0,0,0
씨실트추출물,-1,0,0,0
아가,-1,0,0,0
아데노신,-1,0,0,0
아라키딜글루코사이드,-1,0,0,0
아라키딜알코올,-1,0,0,0
아르간커넬오일,-1,0,0,0
아르니카몬타나꽃추출물,-2,0,0,0
아마씨오일,-1,0,0,0
아미노메틸프로판올,-3,0,0,0
아미노프로필다이메티콘,-1,0,0,0
아밀로덱스트린,-1,0,0,0
아밀신남알,-7,0,0,0
아보카도열매추출물,-1,0,0,0
아사이팜열매추출물,-1,0,0,0
아세로라추출물,-1,0,0,0
아세틱애씨드,-1,0,0,0
아세틸디펩타이드-1세틸에스터,-1,0,0,0
아세틸디펩타이드-3아미노헥사노에이트,0,0,0,0
아세틸헥사펩타이드-8,-1,0,0,0
아스코빅애씨드,-1,0,5,0
아스코빌테트라이소팔미테이트,-1,0,0,0
아스코빌팔미테이트,-1,0,0,0
아시아티코사이드,-1,0,0,0
아이런옥사이드,-2,0,0,0
아이소노닐아이소노나노에이트,-1,0,0,0
아이소도데케인,-1,0,0,0
아이소스테아릭애씨드,-1,0,0,0
