성분명,위험도,지성,건성,민감성
브이피/에이코센코폴리머,-1,0,0,0
브이피/헥사데센코폴리머,-1,0,0,0
블루위드씨오일,-1,0,0,0
비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,0,0,0,0
비닐카프롤락탐/브이피/다이메틸아미노에틸메타크릴레이트코폴리머,0,0,0,0
비브리오알기노리티쿠스발효여과물,0,0,0,0
비사보롤,-1,0,0,0
비스-다이글리세릴폴리아실아디페이트-2,-1,0,0,0
비스-베헤닐/아이소스테아릴/피토스테릴다이머디리놀레일다이머디리놀리에이트,-1,0,0,0
비스-부틸다이메티콘폴리글리세릴-3,0,0,0,0
비스-에틸헥실옥시페놀메톡시페닐트리아진,0,0,0,0
비스-에틸헥실하이드록시다이메톡시벤질말로네이트,-1,0,0,0
비스-피이지/피피지-14/14다이메티콘,-3,0,0,0
비스머스옥시클로라이드,-1,0,0,0
비에이치티,-4,0,0,0
비즈왁스,-1,0,0,0
비터오렌지껍질추출물,0,0,0,0
비트레오실라발효물,-1,0,0,0
비트뿌리추출물,-1,0,0,0
빌베리잎추출물,0,0,0,0
빙하수,0,0,0,0
사과수,-1,0,0,0
사과추출물,-1,0,0,0
사우수레아인볼루크라타추출물,-1,0,0,0
사이클로덱스트린,-1,0,0,0
사이클로메티콘,-2,0,0,0
사이클로펜타실록세인,-3,0,0,0
사이클로헥사실록세인,-2,0,0,0
사카라이드아이소머레이트,-1,0,0,0
사코신,-1,0,0,0
사파이어가루,-1,0,0,0
삭시프라가사르멘토사추출물,-1,0,0,0
산소,-1,0,0,0
산양삼추출물,-1,0,0,0
산호가루,-1,0,0,0
살구씨추출물,-1,0,0,0
서양고추나물꽃/잎/줄기추출물,0,0,0,0
서양송악잎/줄기추출물,-1,0,0,0
서양장미꽃수,-1,0,0,0
서양장미꽃추출물,-1,0,0,0
서양측백나무잎오일,-3,0,0,0
석류나무추출물,-1,0,0,0
선백리향추출물,-1,0,0,0
세네가뿌리추출물,-1,0,0,0
세드롤,-1,0,0,0
세라마이드엔지,-1,0,0,0
세라마이드엔피,-1,0,0,0
세레신,-1,0,0,0
세린,-1,0,0,0
세이지잎추출물,-1,0,0,0
세이지추출물,-1,0,0,0
세테아릴노나노에이트,0,0,0,0
세테아릴다이메티콘/비닐다이메티콘크로스폴리머,0,0,0,0
세테아릴알코올,-1,0,0,0
세틸다이메티콘,-1,0,0,0
세틸에틸헥사노에이트,-1,0,0,0
세틸피이지/피피지-10/1다이메티콘,-3,0,0,0
센티드제라늄꽃오일,-1,0,0,0
셀룰로오스,-1,0,0,0
셀룰로오스검,-1,0,0,0
셀룰로오스아세테이트부티레이트,-1,0,0,0
소듐글루타메이트,-1,0,0,0
소듐데하이드로아세테이트,-1,0,0,0
소듐디엔에이,-1,0,0,0
소듐라우로일글루타메이트,-1,0,0,0
소듐라우로일아스파테이트,-1,0,0,0
소듐락테이트,-3,0,0,0
소듐마그네슘실리케이트,-1,0,0,0
소듐미리스토일글루타메이트,-1,0,0,0
소듐벤조에이트,-3,0,0,0
소듐스테아레이트,-1,0,0,0
소듐스테아로일글루타메이트,-1,0,0,0
소듐시트레이트,-1,0,0,0
소듐아세틸레이티드하이알루로네이트,-1,0,0,0
소듐아스코빌포스페이트,-1,0,0,0
소듐카라기난,-1,0,0,0
소듐카보네이트,-1,0,0,0
소듐클로라이드,-1,0,0,0
소듐토코페릴포스페이트,-1,0,0,0
소듐팔미토일사코시네이트,-1,0,0,0
