성분명,위험도,지성,건성,민감성
옥틸도데실네오펜타노에이트,-1,0,0,0
옥틸도데칸올,-1,0,0,0
올레익/리놀레익/리놀레닉폴리글리세라이드,-1,0,0,0
올리브오일,-1,0,0,0
올리브오일피이지-8에스터,-6,0,0,0
올리브잎오일,-1,0,0,0
왕귤껍질오일,-3,0,0,0
우엉추출물,-1,0,0,0
우유단백질추출물,0,0,0,0
울트라마린,-4,0,0,0
위치하젤잎추출물,-1,0,0,0
유자추출물,-1,0,0,0
은행추출물,-1,0,0,0
아이소프로필티타늄트라이아이소스테아레이트,-1,0,0,0
인도멀구슬나무잎추출물,-1,0,0,0
잇꽃씨추출물,0,0,0,0
자근추출물,-1,0,0,0
자몽추출물,-2,0,0,0
자색201호,-4,0,0,0
장미추출물,-1,0,0,0
적색102호,-5,0,0,0
적색103호의(1,-1,0,0,0
적색104호의(1,-1,0,0,0
적색104호의(1레이크,0,0,0,0
적색201호,-4,0,0,0
적색202호,-3,0,0,0
적색202호레이크,0,0,0,0
적색218호,0,0,0,0
적색223호,-1,0,0,0
적색226호,-5,0,0,0
적색226호레이크,0,0,0,0
적색227호,-2,0,0,0
적색2호,0,0,0,0
적색40호,-3,0,0,0
적색산화철,-2,0,0,0
정제수,-1,0,0,0
제라니올,-7,0,0,0
진들딸기씨추출물,-1,0,0,0
진주추출물,0,0,0,0
참나리추출물,-1,0,0,0
청동가루,-1,0,0,0
청색1호,-2,0,0,0
청색1호레이크,0,0,0,0
치자꽃추출물,-1,0,0,0
카나우바왁스,-1,0,0,0
카라멜,-1,0,0,0
카무카무추출물,-1,0,0,0
카민,-1,0,0,0
카보머,-1,0,0,0
카올린,-1,0,0,0
카카두플럼추출물,-1,0,0,0
카카오씨버터,-1,0,0,0
카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드,-1,0,0,0
카프릴릭/카프릭글리세라이드,-1,0,0,0
카프릴릭/카프릭트라이글리세라이드,-1,0,0,0
카프릴릴글라이콜,-1,0,0,0
카프릴릴메티콘,-1,0,0,0
칼슘소듐보로실리케이트,-1,0,0,0
칼슘알루미늄보로실리케이트,-1,0,0,0
캐러웨이열매오일,-1,0,0,0
캐모마일꽃추출물,-1,0,5,5
커먼자스민추출물,-2,0,0,0
커피추출물,-1,0,0,0
코코넛오일,-1,-5,0,0
코코넛추출물,0,0,0,0
쿼터늄-18헥토라이트,-1,0,0,0
키위추출물,-1,0,0,0
테트라소듐이디티에이,-1,0,0,0
테트라헥실데실아스코베이트,-1,0,0,0
토마토수,0,0,0,0
토마토추출물,0,0,0,0
토코페롤,-1,0,5,0
토코페릴아세테이트,-3,0,0,0
퉁퉁마디추출물,-1,0,0,0
트라이데세스-6,-1,0,0,0
트라이데실트라이멜리테이트,-1,0,0,0
트라이메틸실록시실리케이트,-1,0,0,0
트라이메틸실록시실리케이트/다이메티콘크로스폴리머,-1,0,0,0
트라이메틸실록시페닐다이메티콘,-1,0,0,0
트라이메틸올프로판트라이아이소스테아레이트,-1,0,0,0
트라이메틸펜타페닐트라이실록세인,-1,0,0,0
트라이베헤닌,-1,0,0,0
트라이실록세인,-2,0,0,0
트라이에탄올아민,-5,0,0,0
트라이에톡시카프릴릴실레인,-1,0,0,0
트라이하이드록시스테아린,-1,0,0,0
트레할로오스,-1,0,0,0
트로메타민,-2,0,0,0
트리아콘타닐피브이피,0,0,0,0
티타늄디옥사이드,-3,5,0,5
틴옥사이드,-2,0,0,0
파파야열매추출물,-1,0,0,0
판테놀,-1,0,5,0
팔각회향추출물,-1,0,0,0
팔미토일헥사펩타이드-12,-1,0,0,0
팔미틱애씨드,-1,-5,0,0
패션프룻씨오일,-1,0,0,0
페녹시에탄올,-4,0,0,0
페닐트라이메티콘,-1,0,0,0
페닐프로판올,-1,0,0,0
페닐프로필다이메틸실록시실리케이트,-1,0,0,0
펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,0,0,0,0
펜타에리스리틸테트라아이소스테아레이트,-1,0,0,0
펜틸렌글라이콜,-1,0,0,0
포도씨오일,-1,0,0,0
포타슘솔베이트,-3,0,0,0
포트마리골드꽃오일,-1,0,0,0
포트마리골드꽃추출물,-1,0,0,0
포포나무열매추출물,0,0,0,0
폴리C10-30알킬아크릴레이트,-1,0,0,0
폴리글리세릴-10노나아이소스테아레이트,0,0,0,0
폴리글리세릴-10데카아이소스테아레이트,0,0,0,0
폴리글리세릴-2다이아이소스테아레이트,-1,0,0,0
폴리글리세릴-2다이폴리하이드록시스테아레이트,-1,0,0,0
폴리글리세릴-2아이소스테아레이트,-1,0,0,0
폴리글리세릴-2트라이아이소스테아레이트,-1,0,0,0
폴리글리세릴-3폴리리시놀리에이트,-1,0,0,0
폴리글리세릴-4아이소스테아레이트,-1,0,0,0
폴리글리세릴-6폴리리시놀리에이트,-1,0,0,0
폴리데센,-1,0,0,0
폴리메틸메타크릴레이트,-1,0,0,0
폴리메틸실세스퀴옥세인,-1,0,0,0
폴리부텐,-1,0,0,0
폴리솔베이트20,-3,0,0,0
폴리솔베이트60,-3,0,0,0
폴리솔베이트80,-3,0,0,0
폴리아이소부텐,-1,0,0,0
폴리아크릴레이트-13,-2,0,0,0
폴리아크릴레이트크로스폴리머-6,-1,0,0,0
폴리아크릴아마이드,-4,0,0,0
폴리에틸렌,-1,0,0,0
폴리에틸렌테레프탈레이트,-1,0,0,0
폴리프로필실세스퀴옥세인,-1,0,0,0
폴리하이드록시스테아릭애씨드,-1,0,0,0
프로판다이올,-1,0,0,0
프로폴리스왁스,-1,0,0,0
프로필갈레이트,-3,0,0,0
프로필렌글라이콜,-3,0,5,0
프로필렌글라이콜다이카프릴레이트/다이카프레이트,-1,0,0,0
프로필렌카보네이트,-1,0,0,0
프리지어추출물,-1,0,0,0
피이지-100스테아레이트,-3,0,0,0
피이지-10다이메티콘,-3,0,0,0
피이지-10피토스테롤,0,0,0,0
피이지-12다이메티콘/피피지-20크로스폴리머,0,0,0,0
피이지-40하이드로제네이티드캐스터오일,-3,0,0,0
피이지-60하이드로제네이티드캐스터오일,-3,0,0,0
피이지-7트라이메틸올프로판코코넛에터,-1,0,0,0
피이지/피피지-18/18다이메티콘,-3,0,0,0
피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린,-3,0,0,0
피토스테릴/아이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,-1,0,0,0
피토스테릴마카다미에이트,-1,0,0,0
피토스핑고신,-1,0,0,0
피피지-26-부테스-26,-2,0,0,0
하이드로제네이티드디데센,-1,0,0,0
하이드로제네이티드스타이렌/아이소프렌코폴리머,-1,0,0,0
하이드로제네이티드식물성오일,-1,0,0,0
하이드로제네이티드캐스터오일다이머디리놀리에이트,-1,0,0,0
하이드로제네이티드캐스터오일아이소스테아레이트,-1,0,0,0
하이드로제네이티드폴리데센,-2,0,0,0
하이드로제네이티드폴리사이클로펜타디엔,-1,0,0,0
하이드로제네이티드폴리아이소부텐,-1,0,0,0
하이드록시시트로넬알,-7,0,0,0
