성분명,위험도,지성,건성,민감성
토코페롤,-1,0,5,0
토코페릴아세테이트,-3,0,0,0
트라이메틸실록시실리케이트,-1,0,0,0
트라이메틸실록시페닐다이메티콘,-1,0,0,0
트라이메틸올프로판트라이에틸헥사노에이트,-1,0,0,0
트라이아이소스테아릴시트레이트,-5,0,0,0
트라이에탄올아민,-5,0,0,0
트라이에톡시카프릴릴실레인,-1,0,0,0
트라이에틸헥사노인,-1,0,0,0
트라이카프릴린,-1,0,0,0
트라이하이드록시스테아린,-1,0,0,0
트레할로오스,-1,0,0,0
티타늄디옥사이드,-3,5,0,5
틴옥사이드,-2,0,0,0
파라벤,-5,0,0,0
파라핀,-1,0,0,0
팔각회향추출물,-1,0,0,0
팔미틱애씨드,-1,-5,0,0
페녹시에탄올,-4,0,0,0
페닐트라이메티콘,-1,0,0,0
페닐프로필다이메틸실록시실리케이트,-1,0,0,0
페릭암모늄페로시아나이드,-4,0,0,0
페릭페로시아나이드,-4,0,0,0
페트롤라툼,-4,-5,0,0
펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,0,0,0,0
펜타에리스리틸테트라아이소스테아레이트,-1,0,0,0
펜틸렌글라이콜,-1,0,0,0
포도추출물,-1,0,0,0
포타슘솔베이트,-3,0,0,0
폴리글리세릴-2트라이아이소스테아레이트,-1,0,0,0
폴리글리세릴-6폴리리시놀리에이트,-1,0,0,0
폴리락틱애씨드,-1,0,0,0
폴리메틸메타크릴레이트,-1,0,0,0
폴리메틸실세스퀴옥세인,-1,0,0,0
폴리부텐,-1,0,0,0
폴리부틸렌테레프탈레이트,-1,0,0,0
폴리비닐아세테이트,-3,0,0,0
폴리솔베이트,-3,0,0,0
폴리솔베이트60,-3,0,0,0
폴리솔베이트65,-3,0,0,0
폴리솔베이트80,-3,0,0,0
폴리실리콘-2,-1,0,0,0
폴리에틸렌,-1,0,0,0
폴리에틸렌테레프탈레이트,-1,0,0,0
폴리우레탄-11,-1,0,0,0
폴리우레탄-33,0,0,0,0
폴리프로필렌,-1,0,0,0
폴리프로필실세스퀴옥세인,-1,0,0,0
폴리하이드록시스테아릭애씨드,-1,0,0,0
프렌치로즈꽃추출물,-1,0,0,0
프로판다이올,-1,0,0,0
프로필렌글라이콜,-3,0,5,0
프로필렌카보네이트,-1,0,0,0
프로필파라벤,-7,0,0,0
프리지어추출물,-1,0,0,0
피씨에이다이메티콘,-1,0,0,0
피이지-10다이메티콘,-3,0,0,0
피이지-12다이메티콘,-3,0,0,0
피이티/금테레프탈레이트,0,0,0,0
피이티/에이아이/에피클로로히드린코폴리머테레프탈레이트,0,0,0,0
피토스테릴/아이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,-1,0,0,0
피티에프이,-5,0,0,0
하이드로제네이티드레시틴,-2,0,0,0
하이드로제네이티드스타이렌/메틸스타이렌/인덴코폴리머,-1,0,0,0
하이드로제네이티드에틸헥실올리베이트,-1,0,0,0
하이드로제네이티드올리브오일불검화물,-1,0,0,0
하이드로제네이티드캐스터오일,-1,0,0,0
하이드로제네이티드캐스터오일아이소스테아레이트,-1,0,0,0
하이드로제네이티드캐스터오일/세바식애씨드코폴리머,-1,0,0,0
하이드로제네이티드캐스터오일하이드록시스테아레이트,0,0,0,0
하이드로제네이티드폴리C6-14올레핀,0,0,0,0
하이드로제네이티드폴리데센,-2,0,0,0
